qd1,q1a,q1b,q1c,q1d,q1f,q1g,q2a,q2b,q2c,q2d,q3,q4,q5,q6a,q6b,q6c,q6d,q6e,q6f,q7,q8,qgs1,qgs2,qgs3,qgs4,qd4,lv1,lv3,lv4,lv4a,lv5,lv6,lv6a,lv7,q9,q9a,q10,q11a,q11b,q12a,q12b,q12c,q12d,q13a,q13b,q13c,q13d,qp1,q14,q15,ccq16a,bbq16a,ccq16b,bbq16b,q17,q18a,q18b,q18c,q18e,q18f,q18g,q18h,q19,q24,q24a,q24b,q25,q25a,q25b,q26a,q26b,q26c,q26d,q26e,q26f,q26g,q26h,q26i,q26j,q26k,q26l,q26m,q27a,q27b,q27c,q27d,q28,q29,q31,q32,q33,q33a,q33b,q35,q36a,q36b,q36c,qp2,qp3,qp4,qd6,qd10,qd11,qd12,qd13,qd14,qd17,qd18,qd21,qd34c,qd34l,weight
Registered,No Opinion/DK Person,Favorable,No Opinion/DK,No Opinion/DK Person,No Opinion/DK Person,No Opinion/DK Person,85,Neither Warm Nor Cold,DK,DK,D,B,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Right Direction,The economy and jobs,No,999,President Obama,Did the right thing shutting down,Moderate,Never voted,DK,Not at all Closely,No,Will not vote,Not at all Closely,No,Will not vote, , , , , , , , , , , , , , , , ,999,999,999,999, , , , , , , , , ,Somewhere in between, , ,Somewhere in between, , ,Not at all,Very well,Somewhat well,Somewhat well,Very well,Not at all,Very well,Somewhat well,Very well,Very well,Not at all,Not at all,Very well,Yes,No,Yes,No,Agree,Appeal,Federal government,The courts,Refused, , ,Not an important issue at all,No,No,Yes,Disagree,Disagree,Agree, ,Some other religion, ,Seldom,No, ,No, , ,Landline in Household [reached on Cell], ,2.83372839960923
Registered,Favorable,Favorable,No Opinion/DK,Favorable,No Opinion/DK Person,Unfavorable,70,DK,70,DK,C,B,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Right Direction,Health Care,Yes,Emotional impact,Republicans,Keep government open,Moderate,Earlier this year,DK,Not too Closely,No,Will not vote,Somewhat Closely,Yes,Will not vote, , , , , , , , , , , , , , , , ,999,999,999,999, , , , , , , , , ,Somewhere in between, , ,DK, , ,Not at all,Very well,Not at all,Very well,Don't know,Not at all,Very well,Very well,Very well,Somewhat well,Very well,Somewhat well,Very well,Yes,No,Yes,No,Disagree,Appeal,DK,DK,Oppose, ,Always opposed,Somewhat important issue,Yes,Yes,No,Refused,Refused,Refused, ,Refused, ,At least once/week,No, ,No, , ,Landline in Household [reached on Cell], ,.621148028188278
Registered,Favorable,No Opinion/DK Person,No Opinion/DK,No Opinion/DK Person,No Opinion/DK Person,No Opinion/DK Person,Neither Warm Nor Cold,Neither Warm Nor Cold,Neither Warm Nor Cold,Neither Warm Nor Cold,C,B,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Approve,DK,Health Care,No,999,Republicans,Refused,Conservative,Sometime last year,DK,Not at all Closely,No,Not very likely,Not at all Closely,No,Will not vote,Not Vote, , , , , , , , , , , , , , , ,999,999,999,999, , , , , , , , , ,DK, , ,DK, , ,Not at all,Very well,Very well,Somewhat well,Very well,Not at all,Somewhat well,Somewhat well,Very well,Somewhat well,Not at all,Very well,Somewhat well,No,No,No,No,Agree,Accept Decision, , , , , , , , , , , , , , , , , , ,Refused, , , ,Cell in Household (reached on LL),1.26013170677538
Registered,No Opinion/DK Person,Unfavorable,Favorable,No Opinion/DK Person,No Opinion/DK Person,Unfavorable,20,70,Neither Warm Nor Cold,Neither Warm Nor Cold,C,C,Disapprove,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Dont know,Wrong Track,The economy and jobs,No,999,Republicans,Keep government open,Liberal,Before last year,DK,Not at all Closely,No,Not very likely,Not too Closely,No,Will not vote,Booker, ,Some say Cory Booker has accomplished a lot as Newark&rsquo;s mayor and the,About right,More conservative,No,No,No,No,Yes,Yes,No,No,No, , ,999,999,999,999, , , , , , , , , ,Conservative, ,Somewhat Conservative,Liberal,Somewhat Liberal, ,Very well,Very well,Very well,Not at all,Very well,Very well,Very well,Very well,Somewhat well,Somewhat well,Very well,Not at all,Very well,No,Don't know,No,Yes,Agree,Accept Decision,Federal government,The courts,Support,Always supported, ,One of few very important issues,No,No,No,Disagree,Disagree,Agree, ,Atheist, ,Never,No, ,Yes, , ,Landline in Household [reached on Cell], ,1.72376361423504
Registered,Unfavorable,Favorable,No Opinion/DK,Favorable,No Opinion/DK Person,No Opinion/DK Person,82,25,Neither Warm Nor Cold,Very Cold,C,A,Approve,Approve,Approve,Approve,Approve,Dont know,Approve,Right Direction,Education and Schools,Yes,Affects job/business of respondent,Democrats,Did the right thing shutting down,Conservative,Sometime last year,Other date in November,Not at all Closely,Yes,Will not vote,Not too Closely,No,Will not vote, , , , , , , , , , , , , , , , ,999,999,999,999, , , , , , , , , ,Conservative, ,Somewhat Conservative,Liberal,Somewhat Liberal, ,Not at all,Very well,Not at all,Somewhat well,Very well,Not at all,Very well,Very well,Very well,Very well,Not at all,Not at all,Very well,Yes,No,Yes,No,Agree,Accept Decision,Federal government,The courts,Support,Changed mind, ,Not an important issue at all,No,Yes,No,Neither Agree nor Disagree,Agree,Disagree, ,Catholic,No,Seldom,No, ,No, , ,Landline in Household [reached on Cell], ,.593960316334289
Registered,Unfavorable,Favorable,No Opinion/DK,Unfavorable,Favorable,Favorable,Neither Warm Nor Cold,DK,Very Cold,Very Warm,F,F,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Right Direction,The economy and jobs,No,999,President Obama,Did the right thing shutting down,Conservative,Earlier this year,Oct 16,Very Closely,Yes,Very Likely,Not too Closely,No,Will not vote,Lonegan, ,Some say Cory Booker has accomplished a lot as Newark&rsquo;s mayor and the,More liberal,More conservative,Yes,Yes,No,No,No,No,Yes,Yes,Yes, , ,999,999,999,999, , , , , , , , , ,Somewhere in between, , ,DK, , ,Not at all,Very well,Very well,Very well,Very well,Not at all,Very well,Very well,Somewhat well,Somewhat well,Somewhat well,Not at all,Very well,Yes,No,No,Yes,Disagree,Appeal,Each state individually,The voters,Oppose, ,Always opposed,One of few very important issues,No,Yes,Yes,Strongly Agree,Strongly Agree,Disagree, ,Catholic,Yes,At least once/week,No, ,No, , , ,Cell in Household (reached on LL),.818728375066375
Registered,Unfavorable,Unfavorable,No Opinion/DK,No Opinion/DK Person,No Opinion/DK Person,Unfavorable,Neither Warm Nor Cold,DK,Neither Warm Nor Cold,DK,C,B,Approve,Disapprove,Approve,Disapprove,Disapprove,Disapprove,Approve,DK,The economy and jobs,Yes,Other,Republicans,Keep government open,Liberal,Earlier this year,DK,Not at all Closely,No,Not very likely,Not at all Closely,No,Will not vote,Not Vote, , , , , , , , , , , , , , , ,999,999,999,999, , , , , , , , , ,Conservative, ,Somewhat Conservative,DK, , ,Not at all,Somewhat well,Not at all,Not at all,Not at all,Not at all,Somewhat well,Not at all,Not at all,Very well,Not at all,Not at all,Very well,No,No,No,No,Agree,Accept Decision,Federal government,The courts,Support,Always supported, ,One of few very important issues,Yes,Yes,Yes,Strongly Agree,Neither Agree nor Disagree,Agree, ,Catholic,No,Seldom,Yes,Yes,Yes, , , ,Cell in Household (reached on LL),2.13461271967581
Registered,Unfavorable,No Opinion/DK Person,No Opinion/DK,No Opinion/DK Person,No Opinion/DK Person,No Opinion/DK Person,74,Neither Warm Nor Cold,40,DK,B,B,Approve,Approve,Approve,Approve,Approve,Dont know,Disapprove,Wrong Track,Crime and Drugs,No,999,All to blame/everyone's fault,Did the right thing shutting down,Conservative,Earlier this year,DK,Somewhat Closely,Yes,Not very likely,Somewhat Closely,Yes,Will not vote,Not Vote, , , , , , , , , , , , , , , ,999,999,999,999, , , , , , , , , ,Somewhere in between, , ,Liberal,Very Liberal, ,Not at all,Very well,Not at all,Very well,Not at all,Not at all,Very well,Very well,Very well,Very well,Not at all,Very well,Very well,No,No,No,No,Disagree,Appeal,Federal government,The voters,Oppose, ,Always opposed,Not an important issue at all,No,No,No,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree, ,Refused, ,Refused,No, ,No, , , ,Cell in Household (reached on LL),.712063205840865
Registered,Favorable,Favorable,No Opinion/DK,No Opinion/DK Person,No Opinion/DK Person,Unfavorable,65,Neither Warm Nor Cold,DK,DK,B,B,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove,Wrong Track,Education and Schools,Yes,Affects job/business of respondent,Republicans,Keep government open,Liberal,Sometime last year,DK,Not at all Closely,No,Will not vote,Not at all Closely,Yes,Will not vote, , , , , , , , , , , , , , , , ,999,999,999,999, , , , , , , , , ,Conservative, ,Somewhat Conservative,Somewhere in between, , ,Somewhat well,Somewhat well,Very well,Not at all,Not at all,Very well,Very well,Very well,Not at all,Somewhat well,Somewhat well,Somewhat well,Very well,No,No,No,No,Agree,Accept Decision,Federal government,The state legislature,Support,Always supported, ,Somewhat important issue,No,Yes,No,Don't Know,Strongly Disagree,Agree, ,Atheist, ,Never,No, ,No, , , ,Cell in Household (reached on LL),1.24970474341046
Registered,Favorable,No Opinion/DK Person,Unfavorable,Favorable,No Opinion/DK Person,Favorable,75,Neither Warm Nor Cold,Very Warm,Very Cold,B,A,Approve,Disapprove,Approve,Approve,Approve,Approve,Approve,Right Direction,Health Care,Yes,Unable to access government agencies,Democrats,Keep government open,Conservative,Never voted,Nov 5,Not too Closely,No,Not very likely,Not at all Closely,No,Will not vote,Refused,Refused,Some say Cory Booker has accomplished a lot as Newark&rsquo;s mayor and the,More liberal,DK,No,No,Yes,Yes,DK,DK,DK,DK,No, , ,999,999,999,999, , , , , , , , , ,Somewhere in between, , ,Conservative, ,Very Conservative,Somewhat well,Very well,Very well,Somewhat well,Very well,Somewhat well,Very well,Somewhat well,Not at all,Somewhat well,Not at all,Very well,Very well,No,No,Yes,No,Agree,Accept Decision,Each state individually,The voters,Support,Always supported, ,Most important issue,Yes,Yes,No,Strongly Disagree,Strongly Disagree,Disagree, ,Muslim, ,Never,No, ,No, , , ,Cell in Household (reached on LL),3.46474855426641
